field_api_name,file,line_no,content
RecordIdentifier__c,force-app/main/default/classes/AppBulkToECBulkInsertBatch.cls,372,"                    addRec.RecordIdentifier__c = '31';//レコード識別子"
RecordIdentifier__c,force-app/main/default/classes/AppBulkToECBulkInsertBatch.cls,880,"            newRec.RecordIdentifier__c = '31';"
RecordIdentifier__c,force-app/main/default/classes/ECBulkInsertBatch.cls,871,"            newRec.RecordIdentifier__c = '31';"
RecordIdentifier__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,303,"        dataSectionList.add(setText(billSummary.RecordIdentifier__c));"
RecordIdentifier__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,396,"            dataSectionList.add(setText(billDetail.RecordIdentifier__c));"
RecordIdentifier__c,force-app/main/default/classes/TransferBillDataCreateBatch.cls,412,"        dataSectionList.add(setText(billSummary.RecordIdentifier__c));"
RecordIdentifier__c,force-app/main/default/classes/TransferBillDataCreateBatch.cls,534,"            dataSectionList.add(setText(billDetail.RecordIdentifier__c));"
RecordIdentifier__c,force-app/main/default/objects/BillDetail__c/fields/RecordIdentifier__c.field-meta.xml,3,"    <fullName>RecordIdentifier__c</fullName>"
RecordIdentifier__c,force-app/main/default/objects/BillSummary__c/fields/RecordIdentifier__c.field-meta.xml,3,"    <fullName>RecordIdentifier__c</fullName>"
RecordIdentifier__c,force-app/main/default/objects/ECBulkInsertOptionPlan__c/fields/RecordIdentifier__c.field-meta.xml,3,"    <fullName>RecordIdentifier__c</fullName>"
RecordIdentifier__c,force-app/main/default/reportTypes/ECbilldetail.reportType-meta.xml,414,"            <field>RecordIdentifier__c</field>"
PartnerCode__c,force-app/main/default/classes/AppBulkToECBulkInsertBatch.cls,28,"        query += ',PartnerCode__c'; //パートナーコード"
PartnerCode__c,force-app/main/default/classes/AppBulkToECBulkInsertBatch.cls,514,"        newRec.PartnerCode__c = target.PartnerCode__c; //パートナーコード"
PartnerCode__c,force-app/main/default/classes/AppBulkToECBulkInsertBatch.cls,522,"        newRec.DealerCode__c = target.PartnerCode__c;//取扱店コード"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,122,"        //    updQuery += 'and PartnerCode__c = \'' + insertAppBulkList[0].PartnerCode__c + '\'';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,190,"        //    partnerCode.add(appBulkTemp.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,194,"        //partnerList = [select id,PartnerCode__c,PartnerType__c from Partner__c where PartnerCode__c in :partnerCode];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,201,"        //    partnerMap.put(partner.PartnerCode__c, partner.PartnerType__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,328,"    //         newRec.PartnerCode__c = headersList[2];                                //パートナーコード"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportController.cls,385,"    //                 //if(newRec.PartnerCode__c == '0000000005'){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempImportControllerTest.cls,21,"        testPartner.PartnerCode__c = '0000000999';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,18,"        List<Partner__c> partnerList = [select id,PartnerCode__c from Partner__c];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,21,"            partnerMap.put(partner.PartnerCode__c, partner.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,25,"        List<Plan__c> planList = [select id,Name,PlanID__c,AreaCode__c,PartnerCode__c,UnitPriceType__c,UnitType__c,EndPowerTransmitServiceCode__c,UniqueKey__c from Plan__c where MVPartnerCode__c = '44040000000005'];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,26,"//        List<Plan__c> planList = [select id,Name,PlanID__c,AreaCode__c,PartnerCode__c,UnitPriceType__c,UnitType__c,EndPowerTransmitServiceCode__c,UniqueKey__c from Plan__c where MVPartnerCode__c = :loginUser.MVPartnerCode__c];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,116,"        List<Partner__c> partnerList = [select id,PartnerCode__c from Partner__c];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,119,"            partnerMap.put(partner.PartnerCode__c, partner.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,123,"//        List<Plan__c> planList = [select id,Name,PlanID__c,AreaCode__c,PartnerCode__c,UnitPriceType__c,UnitType__c,EndPowerTransmitServiceCode__c,UniqueKey__c from Plan__c where MVPartnerCode__c = :loginUser.MVPartnerCode__c];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,124,"        List<Plan__c> planList = [select id,Name,PlanID__c,AreaCode__c,PartnerCode__c,UnitPriceType__c,UnitType__c,EndPowerTransmitServiceCode__c,UniqueKey__c from Plan__c where MVPartnerCode__c = '44040000000005'];"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,181,"        if(!String.isBlank(target.PartnerCode__c) && !String.isBlank(target.PlanID__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,188,"            planKey = RetailerCode + target.PartnerCode__c + target.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,190,"            //planKey = target.PartnerCode__c + target.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,205,"        if(String.isBlank(target.PartnerCode__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,208,"        }else if(!partnerMap.containsKey(target.PartnerCode__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,1240,"            if(planMap.get(planKey).PartnerCode__c != target.PartnerCode__c){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,1886,"        if(!String.isBlank(rec.BrandCode__c) && !String.isBlank(rec.PartnerCode__c) && !String.isBlank(rec.PlanID__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,1887,"            planKey = rec.BrandCode__c.left(4) + rec.PartnerCode__c + rec.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,2137,"        if(!String.isBlank(rec.BrandCode__c) && !String.isBlank(rec.PartnerCode__c) && !String.isBlank(rec.PlanID__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,2138,"            planKey = rec.BrandCode__c.left(4) + rec.PartnerCode__c + rec.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,245,"        appBulkTestData.PartnerCode__c = '9876';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,500,"        partner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,586,"        appBulk.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/ApplicationDetailTriggerHandler.cls,1076,"            newCase.PartnerCode__c = parent.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationDetailTriggerHandler.cls,1873,"                     , PartnerCode__c"
PartnerCode__c,force-app/main/default/classes/ApplicationInsertBatchTest.cls,123,"            PartnerCode__c='0000001234',"
PartnerCode__c,force-app/main/default/classes/ApplicationOfIUCImportControllerTest.cls,216,"        rtnPartner.PartnerCode__c = '0000000006';"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,25,"        parentRecordList = [select id,IsError__c,ErrorDetail__c,InsertByVF__c,PartnerCode__c,PlanID__c,BrandCode__c from ApplicationBulkTemp__c where id in :parentIds];"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,37,"            uniqueKeyList.add(appBulkTemp.PartnerCode__c + appBulkTemp.PlanID__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,63,"                String planKey = RetailerCode + parent.PartnerCode__c + parent.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationTriggerHandler.cls,11,"            // List<Partner__c> iuc = [SELECT Id FROM Partner__c WHERE PartnerCode__c = '0000000006'];"
PartnerCode__c,force-app/main/default/classes/ApplicationTriggerHandlerTest.cls,218,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/AppOptionBulkTempTriggerHandlerTest.cls,109,"        partner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/AppOptionBulkTempTriggerHandlerTest.cls,198,"        appBulk.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/BillDetailAmountCalculationBatchTest.cls,10,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillDetailAmountCalculationBatchTest.cls,195,"            ,PartnerCode__c = '0000001234'"
PartnerCode__c,force-app/main/default/classes/BillDetailCleanupBatchTest.cls,8,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillDetailDeleteBatchTest.cls,14,"            PartnerCode__c = '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillSummaryDataCreateBatch.cls,153,"            billPrintSum.PartnerCode__c = setText(billSum.Bill_PartnerCode__c);                                         // パートナーコード"
PartnerCode__c,force-app/main/default/classes/BillSummaryDataCreateBatchTest.cls,9,"            PartnerCode__c = '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillSummaryTriggerHandlerTest.cls,12,"            PartnerCode__c= '0000000000',"
PartnerCode__c,force-app/main/default/classes/BillSummaryTriggerHandlerTest.cls,91,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/BillTransferDataCreateControllerTest.cls,9,"            PartnerCode__c= '0000000000',"
PartnerCode__c,force-app/main/default/classes/BillTransferDataCreateControllerTest.cls,88,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/CancellAndRiminderReportCreateBatchTest.cls,76,"        partner.PartnerCode__c = '0000000001';"
PartnerCode__c,force-app/main/default/classes/CancellAndRiminderReportCreateBatchTest.cls,679,"        testPartner.PartnerCode__c= '0000000015';"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,35,"        query += ',PartnerCode__c ';                           //パートナーコード"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1156,"        if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1203,"            if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1213,"            if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1258,"        if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationRequestCreateBatchTest.cls,13,"                p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/CancellationRequestCreateTest.cls,16,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/CancellationRequestImportPageTest.cls,319,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/ChangeRequestBatchTest.cls,212,"                                            PartnerCode__c = '0000000014',"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFAccountBatch.cls,106,"					//'PartnerCode__c' => 'PartnerCode__c',  //ENEXLS-1887"
